path,source,hour,minute,label,split
real_data/train/04a6ba708fb3_11_02.jpg,kongaskristjan,11,2,11-00,train
real_data/train/097edc2ced6d_02_18.jpg,kongaskristjan,2,18,2-20,train
real_data/train/0e171d4bb745_02_08.jpg,kongaskristjan,2,8,2-10,train
real_data/train/118152060b59_11_53.jpg,kongaskristjan,11,53,11-55,train
real_data/train/1a936ae8876a_10_49.jpg,kongaskristjan,10,49,10-50,train
real_data/train/1c76713a0107_01_34.jpg,kongaskristjan,1,34,1-35,train
real_data/train/218aa6f92442_10_09.jpg,kongaskristjan,10,9,10-10,train
real_data/train/21d31b622cd1_11_55.jpg,kongaskristjan,11,55,11-55,train
real_data/train/2799145dadf5_02_00.jpg,kongaskristjan,2,0,2-00,train
real_data/train/27d89ed22b32_03_50.jpg,kongaskristjan,3,50,3-50,test
real_data/train/2874fb4e17ee_01_50.jpg,kongaskristjan,1,50,1-50,train
real_data/train/2d2353f2c2ff_10_26.jpg,kongaskristjan,10,26,10-25,train
real_data/train/30ad7606d782_08_06.jpg,kongaskristjan,8,6,8-05,train
real_data/train/32ad690131ad_11_04.jpg,kongaskristjan,11,4,11-05,train
real_data/train/3a4cd3346a73_10_47.jpg,kongaskristjan,10,47,10-45,test
real_data/train/3de7982e9f44_01_50.jpg,kongaskristjan,1,50,1-50,train
real_data/train/3e86474fe6c6_02_09.jpg,kongaskristjan,2,9,2-10,train
real_data/train/3f9d16c3b959_04_35.jpg,kongaskristjan,4,35,4-35,train
real_data/train/4220da375c62_03_00.jpg,kongaskristjan,3,0,3-00,train
real_data/train/469caa12f3df_07_29.jpg,kongaskristjan,7,29,7-30,train
real_data/train/469f8ea4680d_03_25.jpg,kongaskristjan,3,25,3-25,train
real_data/train/4b128c66d313_07_25.jpg,kongaskristjan,7,25,7-25,train
real_data/train/4ebc889607a4_11_18.jpg,kongaskristjan,11,18,11-20,train
real_data/train/520299299cba_00_48.jpg,kongaskristjan,0,48,12-50,train
real_data/train/59138bfb7deb_01_42.jpg,kongaskristjan,1,42,1-40,train
real_data/train/5bfc4352a5e0_10_10.jpg,kongaskristjan,10,10,10-10,train
real_data/train/5cc21d695995_05_30.jpg,kongaskristjan,5,30,5-30,test
real_data/train/6329c7d168ba_05_42.jpg,kongaskristjan,5,42,5-40,train
real_data/train/6ec6ee751f4e_00_34.jpg,kongaskristjan,0,34,12-35,test
real_data/train/709a79ed99e3_02_03.jpg,kongaskristjan,2,3,2-05,train
real_data/train/717127a7694c_11_54.jpg,kongaskristjan,11,54,11-55,test
real_data/train/717a6fda60e1_10_06.jpg,kongaskristjan,10,6,10-05,train
real_data/train/7220bc40349e_03_42.jpg,kongaskristjan,3,42,3-40,train
real_data/train/7255f61ec86c_06_05.jpg,kongaskristjan,6,5,6-05,test
real_data/train/7fdab8115060_11_17.jpg,kongaskristjan,11,17,11-15,test
real_data/train/8be3d37ca172_08_56.jpg,kongaskristjan,8,56,8-55,train
real_data/train/9a3f60756446_10_10.jpg,kongaskristjan,10,10,10-10,train
real_data/train/a02b4d93783e_10_12.jpg,kongaskristjan,10,12,10-10,train
